Data,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
09/03/2026,149021,ANTONOW,PIXPOKER,0,0,"305,77"," R$  305,77 ","0,00%","0,00%","100,00%",PLO6,1.194
09/03/2026,149545,pix149545,PIXPOKER,0,"37,5","851,71"," R$  889,21 ","0,00%","4,22%","95,78%",PLO6,-572
09/03/2026,151375,Jamal,PIXPOKER,"1,78","2,3","170,72"," R$  174,80 ","1,02%","1,32%","97,67%",PLO6,-577
09/03/2026,153018,183549022,PIXPOKER,0,0,"84,73"," R$  84,73 ","0,00%","0,00%","100,00%",PLO6,-83
09/03/2026,155550,aceitaumcha,PIXPOKER,0,2,"1345,98"," R$  1.347,98 ","0,00%","0,15%","99,85%",PLO6,-4.097
09/03/2026,157192,kakaziinho,PIXPOKER,0,0,"704,48"," R$  704,48 ","0,00%","0,00%","100,00%",PLO6,-2.575
09/03/2026,170570,cuidaa,PIXPOKER,"5,51","1,8","131,75"," R$  139,06 ","3,96%","1,29%","94,74%",PLO6,-169
09/03/2026,182112,Davidmar,PIXPOKER,0,0,"680,58"," R$  680,58 ","0,00%","0,00%","100,00%",PLO6,700
09/03/2026,183808,gagau,PIXPOKER,0,0,"1485,18"," R$  1.485,18 ","0,00%","0,00%","100,00%",PLO6,-3.118
09/03/2026,191446,Rochedo,PIXPOKER,0,0,"10,01"," R$  10,01 ","0,00%","0,00%","100,00%",PLO6,-104
09/03/2026,193519,MOUNJARO,PIXPOKER,0,0,"253,44"," R$  253,44 ","0,00%","0,00%","100,00%",PLO6,-1.168
09/03/2026,105853,toblefando,PIXPOKER,0,0,"75,94"," R$  75,94 ","0,00%","0,00%","100,00%",PLO6,116
09/03/2026,116975,bora bora,PIXPOKER,0,0,"3349,05"," R$  3.349,05 ","0,00%","0,00%","100,00%",PLO6,4.568
09/03/2026,121506,Big big mecky,PIXPOKER,0,0,"213,53"," R$  213,53 ","0,00%","0,00%","100,00%",PLO6,-132
09/03/2026,129292,kinho$?,PIXPOKER,0,"4,2","14,04"," R$  18,24 ","0,00%","23,03%","76,97%",PLO6,-26
09/03/2026,141288,g777,PIXPOKER,"4,17","0,1","33,54"," R$  37,81 ","11,03%","0,26%","88,71%",PLO6,-164
09/03/2026,157737,raule de mel,PIXPOKER,"0,39","0,5","155,57"," R$  156,46 ","0,25%","0,32%","99,43%",PLO6,-293
09/03/2026,161256,CARTMAN,PIXPOKER,0,0,"722,03"," R$  722,03 ","0,00%","0,00%","100,00%",PLO6,-2.154
09/03/2026,167950,pix167950,PIXPOKER,0,0,"146,28"," R$  146,28 ","0,00%","0,00%","100,00%",PLO6,-476
09/03/2026,174847,Nem fudendo,PIXPOKER,0,0,"179,83"," R$  179,83 ","0,00%","0,00%","100,00%",PLO6,-676
09/03/2026,186675,soninho,PIXPOKER,0,0,"1115,49"," R$  1.115,49 ","0,00%","0,00%","100,00%",PLO6,-643
09/03/2026,188295,pagadordebluff,PIXPOKER,"0,46",0,"220,3"," R$  220,76 ","0,21%","0,00%","99,79%",PLO6,106
09/03/2026,192692,pix192692,PIXPOKER,"223,84",0,"8,81"," R$  232,65 ","96,21%","0,00%","3,79%",NLH,6
09/03/2026,193531,pix193531,PIXPOKER,0,"10,55","34,78"," R$  45,33 ","0,00%","23,27%","76,73%",PLO6,-345
09/03/2026,144291,d. negreano,PIXPOKER,0,"6,2","101,61"," R$  107,81 ","0,00%","5,75%","94,25%",PLO6,-176
09/03/2026,155309,Andre13,PIXPOKER,0,0,"1788,26"," R$  1.788,26 ","0,00%","0,00%","100,00%",PLO6,-3.682
09/03/2026,139726,Bananinha,PIXPOKER,0,"242,8","685,6"," R$  928,40 ","0,00%","26,15%","73,85%",PLO6,6.213
09/03/2026,150634,Sgt. Antunes,PIXPOKER,"17,83","20,46",0," R$  38,29 ","46,57%","53,43%","0,00%",MTT,-166
09/03/2026,152468,REIDO7,PIXPOKER,"16,87","84,32",0," R$  101,19 ","16,67%","83,33%","0,00%",MTT,25
09/03/2026,180358,AGRF,PIXPOKER,"1,11","17,6","342,8"," R$  361,51 ","0,31%","4,87%","94,82%",PLO6,1.454
09/03/2026,154027,goku,PIXPOKER,0,0,"199,42"," R$  199,42 ","0,00%","0,00%","100,00%",PLO6,-585
09/03/2026,193434,PDVCUIDA,PIXPOKER,0,0,"3738,55"," R$  3.738,55 ","0,00%","0,00%","100,00%",PLO6,-6.867
09/03/2026,100605,henrique,PIXPOKER,"14,33",0,"13,23"," R$  27,56 ","52,00%","0,00%","48,00%",NLH,74
09/03/2026,102699,Pryktonita,PIXPOKER,"2,96",0,"15,18"," R$  18,14 ","16,32%","0,00%","83,68%",PLO6,-64
09/03/2026,112569,LNI23,PIXPOKER,"1,38","0,4",70," R$  71,78 ","1,92%","0,56%","97,52%",PLO6,54
09/03/2026,117699,mariabonita,PIXPOKER,0,0,"202,81"," R$  202,81 ","0,00%","0,00%","100,00%",PLO6,880
09/03/2026,119970,X2KK,PIXPOKER,"0,23","12,1","32,45"," R$  44,78 ","0,51%","27,02%","72,47%",PLO6,-364
09/03/2026,154721,Jason13,PIXPOKER,"9,01",0,"106,07"," R$  115,08 ","7,83%","0,00%","92,17%",PLO6,-100
09/03/2026,159222,MC81,PIXPOKER,0,1,"40,98"," R$  41,98 ","0,00%","2,38%","97,62%",PLO6,-80
09/03/2026,160003,Ioribr (777),PIXPOKER,"0,62",0,"24,63"," R$  25,25 ","2,46%","0,00%","97,54%",PLO6,-15
09/03/2026,162897,Totó ?,PIXPOKER,"55,62",1,"78,16"," R$  134,78 ","41,27%","0,74%","57,99%",PLO6,-21
09/03/2026,165694,jr?,PIXPOKER,"1,26",0,"134,32"," R$  135,58 ","0,93%","0,00%","99,07%",PLO6,-405
09/03/2026,174513,LasVegas171,PIXPOKER,"0,17","2,2","77,19"," R$  79,56 ","0,21%","2,77%","97,02%",PLO6,-172
09/03/2026,183420,jheniffer,PIXPOKER,0,0,"1,61"," R$  1,61 ","0,00%","0,00%","100,00%",PLO6,-18
09/03/2026,185992,davizin,PIXPOKER,"10,09",0,"296,49"," R$  306,58 ","3,29%","0,00%","96,71%",PLO6,-681
09/03/2026,188277,???!,PIXPOKER,"59,37","9,8","14,39"," R$  83,56 ","71,05%","11,73%","17,22%",NLH,-1
09/03/2026,188964,…….,PIXPOKER,"0,04",0,"323,05"," R$  323,09 ","0,01%","0,00%","99,99%",PLO6,1.915
09/03/2026,190877,V20??,PIXPOKER,"4,88","3,7",1," R$  9,58 ","50,94%","38,62%","10,44%",NLH,-93
09/03/2026,192718,PACHOLAAA,PIXPOKER,0,0,"617,82"," R$  617,82 ","0,00%","0,00%","100,00%",PLO6,-1.234
09/03/2026,193120,brrbrrpatapim,PIXPOKER,"5,31","4,3","208,67"," R$  218,28 ","2,43%","1,97%","95,60%",PLO6,904
09/03/2026,101534,chupa minha pica,PIXPOKER,0,"21,3","13,31"," R$  34,61 ","0,00%","61,54%","38,46%",MTT,-359
09/03/2026,136797,PERNA LONGA $,PIXPOKER,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,0
09/03/2026,102054,quero jogo,PIXPOKER,0,0,"291,64"," R$  291,64 ","0,00%","0,00%","100,00%",PLO6,-116
09/03/2026,130772,molico10,PIXPOKER,0,0,"4,43"," R$  4,43 ","0,00%","0,00%","100,00%",PLO6,-5
09/03/2026,147160,bilocapoker,PIXPOKER,"0,08",0,"69,13"," R$  69,21 ","0,12%","0,00%","99,88%",PLO6,-98
09/03/2026,154395,fudooooo,PIXPOKER,"3,63",0,"14,13"," R$  17,76 ","20,44%","0,00%","79,56%",PLO6,-117
09/03/2026,120235,Brandão 08,PIXPOKER,0,4,"106,32"," R$  110,32 ","0,00%","3,63%","96,37%",PLO6,-330
09/03/2026,121760,velinho8657,PIXPOKER,0,"0,1","192,59"," R$  192,69 ","0,00%","0,05%","99,95%",PLO6,-1.064
09/03/2026,129250,dayvisonfranklin,PIXPOKER,0,0,"486,15"," R$  486,15 ","0,00%","0,00%","100,00%",PLO6,682
09/03/2026,142293,LLULA,PIXPOKER,"3,12",0,"448,96"," R$  452,08 ","0,69%","0,00%","99,31%",PLO6,-885
09/03/2026,151543,jotinhafelipe,PIXPOKER,0,"31,1","372,03"," R$  403,13 ","0,00%","7,71%","92,29%",PLO6,-755
09/03/2026,156606,papacapim?,PIXPOKER,"6,38","6,6","528,49"," R$  541,47 ","1,18%","1,22%","97,60%",PLO6,405
09/03/2026,171266,BALA 27,PIXPOKER,0,0,"213,01"," R$  213,01 ","0,00%","0,00%","100,00%",PLO6,-336
09/03/2026,189502,kid poker AA,PIXPOKER,"2,26",0,"176,76"," R$  179,02 ","1,26%","0,00%","98,74%",PLO6,-779
09/03/2026,100346,DeinhAA,PIXPOKER,0,0,"145,21"," R$  145,21 ","0,00%","0,00%","100,00%",PLO6,-239
09/03/2026,102916,Elthigas,PIXPOKER,"49,68","33,8","90,5"," R$  173,98 ","28,56%","19,43%","52,02%",PLO6,398
09/03/2026,147059,GBC.10,PIXPOKER,"7,03","98,3","295,06"," R$  400,39 ","1,76%","24,55%","73,69%",PLO6,-75
09/03/2026,155905,Laga Lagartão,PIXPOKER,0,0,"867,43"," R$  867,43 ","0,00%","0,00%","100,00%",PLO6,-648
09/03/2026,161330,ALLMUTED,PIXPOKER,"6,7",0,"53,45"," R$  60,15 ","11,14%","0,00%","88,86%",PLO6,-15
09/03/2026,162136,pix162136,PIXPOKER,0,0,"1661,66"," R$  1.661,66 ","0,00%","0,00%","100,00%",PLO6,-3.230
09/03/2026,162905,picanele,PIXPOKER,0,0,"42,92"," R$  42,92 ","0,00%","0,00%","100,00%",PLO6,-323
09/03/2026,173235,Iduclerc,PIXPOKER,"24,89","142,5","442,55"," R$  609,94 ","4,08%","23,36%","72,56%",PLO6,-184
09/03/2026,187173,pix187173,PIXPOKER,0,0,"38,31"," R$  38,31 ","0,00%","0,00%","100,00%",PLO6,-183
09/03/2026,188115,RivaxL,PIXPOKER,0,0,"992,63"," R$  992,63 ","0,00%","0,00%","100,00%",PLO6,1.459
09/03/2026,190673,pix190673,PIXPOKER,"34,27","15,3","46,83"," R$  96,40 ","35,55%","15,87%","48,58%",PLO6,-385
09/03/2026,192323,pix192323,PIXPOKER,0,0,"207,8"," R$  207,80 ","0,00%","0,00%","100,00%",PLO6,-1.535
09/03/2026,193121,Aldryrj,PIXPOKER,0,0,"53,57"," R$  53,57 ","0,00%","0,00%","100,00%",PLO6,-129
09/03/2026,193817,pix193817,PIXPOKER,0,0,"117,09"," R$  117,09 ","0,00%","0,00%","100,00%",PLO6,16
09/03/2026,172009,bruno102929,PIXPOKER,0,60,"839,02"," R$  899,02 ","0,00%","6,67%","93,33%",PLO6,-1.167
09/03/2026,149960,11678,PIXPOKER,0,0,"1499,98"," R$  1.499,98 ","0,00%","0,00%","100,00%",PLO6,-11.534
09/03/2026,154160,pix154160,PIXPOKER,0,0,"301,24"," R$  301,24 ","0,00%","0,00%","100,00%",PLO6,251
09/03/2026,107011,ABS99,PIXPOKER,"0,7",0,"13,8"," R$  14,50 ","4,83%","0,00%","95,17%",PLO6,-179
09/03/2026,141552,PULSOFIRME,PIXPOKER,0,0,"9,58"," R$  9,58 ","0,00%","0,00%","100,00%",PLO6,-41
09/03/2026,145708,Oleodeperoba,PIXPOKER,0,0,"521,45"," R$  521,45 ","0,00%","0,00%","100,00%",PLO6,-1.616
09/03/2026,155081,Bradesco $@,PIXPOKER,"27,72","20,6","36,97"," R$  85,29 ","32,50%","24,15%","43,35%",PLO6,-55
09/03/2026,159669,mainardi,PIXPOKER,"18,79","7,6","317,51"," R$  343,90 ","5,46%","2,21%","92,33%",PLO6,-934
09/03/2026,188702,Aécio2064,PIXPOKER,0,0,"26,91"," R$  26,91 ","0,00%","0,00%","100,00%",PLO6,-42
09/03/2026,193561,Iperes,PIXPOKER,"4,46","129,7","307,82"," R$  441,98 ","1,01%","29,35%","69,65%",PLO6,-617
09/03/2026,116936,clenilson,PIXPOKER,"132,28",0,0," R$  132,28 ","100,00%","0,00%","0,00%",NLH,-219
09/03/2026,144694,$ doador $,PIXPOKER,"194,7",0,0," R$  194,70 ","100,00%","0,00%","0,00%",NLH,385
09/03/2026,145377,Tandas,PIXPOKER,"94,62",0,0," R$  94,62 ","100,00%","0,00%","0,00%",NLH,185
09/03/2026,147305,bambu,PIXPOKER,"1,44",0,0," R$  1,44 ","100,00%","0,00%","0,00%",NLH,0
09/03/2026,158399,ldcostta,PIXPOKER,"191,4","2,2",0," R$  193,60 ","98,86%","1,14%","0,00%",NLH,-576
09/03/2026,165730,kara de Xibata,PIXPOKER,"9,68","281,5",0," R$  291,18 ","3,32%","96,68%","0,00%",MTT,181
09/03/2026,171251,jhony@,PIXPOKER,"72,61",4,"158,15"," R$  234,76 ","30,93%","1,70%","67,37%",PLO6,-426
09/03/2026,173840,jottape,PIXPOKER,"3,67",11,"5,29"," R$  19,96 ","18,39%","55,11%","26,50%",MTT,-265
09/03/2026,100761,AlanKessio,PIXPOKER,0,0,"5,77"," R$  5,77 ","0,00%","0,00%","100,00%",PLO6,-41
09/03/2026,110491,Top 10,PIXPOKER,0,0,"9,22"," R$  9,22 ","0,00%","0,00%","100,00%",PLO6,-119
09/03/2026,119997,brunobfb,PIXPOKER,0,0,"16,32"," R$  16,32 ","0,00%","0,00%","100,00%",PLO6,-29
09/03/2026,129800,Tferrei,PIXPOKER,0,"13,3","9,71"," R$  23,01 ","0,00%","57,80%","42,20%",MTT,-166
09/03/2026,131552,Rod.kk,PIXPOKER,"10,18",0,"33,84"," R$  44,02 ","23,13%","0,00%","76,87%",PLO6,-137
09/03/2026,146599,pix146599,PIXPOKER,0,0,"108,29"," R$  108,29 ","0,00%","0,00%","100,00%",PLO6,116
09/03/2026,147011,leruiz,PIXPOKER,0,0,"314,93"," R$  314,93 ","0,00%","0,00%","100,00%",PLO6,-199
09/03/2026,149452,JoeMckeeheen,PIXPOKER,0,0,"4,49"," R$  4,49 ","0,00%","0,00%","100,00%",PLO6,85
09/03/2026,170172,eduucoosta,PIXPOKER,0,0,"6,47"," R$  6,47 ","0,00%","0,00%","100,00%",PLO6,-72
09/03/2026,171369,pix171369,PIXPOKER,0,0,"185,52"," R$  185,52 ","0,00%","0,00%","100,00%",PLO6,-196
09/03/2026,192679,lucaslgbr,PIXPOKER,0,0,"14,97"," R$  14,97 ","0,00%","0,00%","100,00%",PLO6,-79
09/03/2026,193682,pix193682,PIXPOKER,0,0,"155,13"," R$  155,13 ","0,00%","0,00%","100,00%",PLO6,-254
09/03/2026,120161,Forasteiro,PIXPOKER,"2,87",0,"97,13"," R$  100,00 ","2,87%","0,00%","97,13%",PLO6,-466
09/03/2026,133682,Disney,PIXPOKER,0,0,"162,21"," R$  162,21 ","0,00%","0,00%","100,00%",PLO6,-545
09/03/2026,136730,Pabin do gasolina,PIXPOKER,0,0,"82,03"," R$  82,03 ","0,00%","0,00%","100,00%",PLO6,-370
09/03/2026,138179,Nathaan,PIXPOKER,0,0,"165,72"," R$  165,72 ","0,00%","0,00%","100,00%",PLO6,710
09/03/2026,149966,ajex,PIXPOKER,0,0,"816,11"," R$  816,11 ","0,00%","0,00%","100,00%",PLO6,-1.755
09/03/2026,188494,Laele10x,PIXPOKER,0,0,"540,26"," R$  540,26 ","0,00%","0,00%","100,00%",PLO6,-2.372
09/03/2026,188835,Gincobilola,PIXPOKER,"1,15","20,5","38,52"," R$  60,17 ","1,91%","34,07%","64,02%",PLO6,-450
09/03/2026,154882,É O BR,PIXPOKER,"12,66",0,"18,09"," R$  30,75 ","41,17%","0,00%","58,83%",PLO6,-38
09/03/2026,161139,Elio Oliveira,PIXPOKER,"9,6",0,0," R$  9,60 ","100,00%","0,00%","0,00%",NLH,-53
09/03/2026,162312,WeydsonL,PIXPOKER,"31,29",0,0," R$  31,29 ","100,00%","0,00%","0,00%",NLH,-140
09/03/2026,189622,Lula2026,PIXPOKER,"229,56",0,0," R$  229,56 ","100,00%","0,00%","0,00%",NLH,-513
09/03/2026,107206,PriorPVH,PIXPOKER,0,15,"235,87"," R$  250,87 ","0,00%","5,98%","94,02%",PLO6,914
09/03/2026,155230,tapia,PIXPOKER,0,0,"292,65"," R$  292,65 ","0,00%","0,00%","100,00%",PLO6,-1.092
09/03/2026,164616,RATUERA,PIXPOKER,0,1,"115,17"," R$  116,17 ","0,00%","0,86%","99,14%",PLO6,-359
09/03/2026,140135,lukinhas05,PIXPOKER,0,0,"51,44"," R$  51,44 ","0,00%","0,00%","100,00%",PLO6,-153
09/03/2026,142288,Kauezoide,PIXPOKER,0,0,"8,57"," R$  8,57 ","0,00%","0,00%","100,00%",PLO6,-28
09/03/2026,100438,fabian agra,PIXPOKER,"58,29","2,6","271,39"," R$  332,28 ","17,54%","0,78%","81,68%",PLO6,-780
09/03/2026,115245,zicadoo,PIXPOKER,0,0,"131,16"," R$  131,16 ","0,00%","0,00%","100,00%",PLO6,-97
09/03/2026,136595,Jefin6710,PIXPOKER,"35,44","13,1",0," R$  48,54 ","73,01%","26,99%","0,00%",NLH,-304
09/03/2026,153505,Gabriel Almeida,PIXPOKER,"73,99",0,0," R$  73,99 ","100,00%","0,00%","0,00%",NLH,-203
09/03/2026,160398,OSTIN 09,PIXPOKER,"40,08",0,0," R$  40,08 ","100,00%","0,00%","0,00%",NLH,-63
09/03/2026,162898,Arturlm11,PIXPOKER,"3,51","3,4","9,32"," R$  16,23 ","21,63%","20,95%","57,42%",PLO6,-92
09/03/2026,191293,Júnior trator,PIXPOKER,"102,23","22,4","0,54"," R$  125,17 ","81,67%","17,90%","0,43%",NLH,-839
09/03/2026,100628,roCALLbole,PIXPOKER,0,"4,2","0,79"," R$  4,99 ","0,00%","84,17%","15,83%",MTT,227
09/03/2026,117575,Let’s Go,PIXPOKER,"0,78","29,7",0," R$  30,48 ","2,56%","97,44%","0,00%",MTT,40
09/03/2026,120746,toctoc,PIXPOKER,"0,76","8,1","87,48"," R$  96,34 ","0,79%","8,41%","90,80%",PLO6,137
09/03/2026,154470,Batgirl,PIXPOKER,"0,93","21,3",0," R$  22,23 ","4,18%","95,82%","0,00%",MTT,-225
09/03/2026,109387,Bigode,PIXPOKER,"146,82","0,6",0," R$  147,42 ","99,59%","0,41%","0,00%",NLH,67
09/03/2026,101128,bateu,PIXPOKER,0,"13,9",0," R$  13,90 ","0,00%","100,00%","0,00%",MTT,244
09/03/2026,107423,Costa10,PIXPOKER,"4,83",23,0," R$  27,83 ","17,36%","82,64%","0,00%",MTT,-157
09/03/2026,137423,Godoy,PIXPOKER,0,"204,85",0," R$  204,85 ","0,00%","100,00%","0,00%",MTT,-1.603
09/03/2026,175211,PSherman,PIXPOKER,0,64,0," R$  64,00 ","0,00%","100,00%","0,00%",MTT,75
09/03/2026,102512,Myster poker,PIXPOKER,"10,79","2,1",0," R$  12,89 ","83,71%","16,29%","0,00%",NLH,-35
09/03/2026,144329,guga02,PIXPOKER,"4,6",0,0," R$  4,60 ","100,00%","0,00%","0,00%",NLH,-44
09/03/2026,193010,pix193010,PIXPOKER,"11,02","75,5",0," R$  86,52 ","12,74%","87,26%","0,00%",MTT,-524
09/03/2026,193191,rc1908,PIXPOKER,"21,83","0,4","34,92"," R$  57,15 ","38,20%","0,70%","61,10%",PLO6,-385
09/03/2026,109744,Paulão do flop,PIXPOKER,"1,37",0,"17,82"," R$  19,19 ","7,14%","0,00%","92,86%",PLO6,-28
09/03/2026,193871,pix193871,PIXPOKER,0,0,"18,26"," R$  18,26 ","0,00%","0,00%","100,00%",PLO6,-173
09/03/2026,178675,XixaQ9,PIXPOKER,0,"11,5","98,31"," R$  109,81 ","0,00%","10,47%","89,53%",PLO6,-175
09/03/2026,187114,papudo,PIXPOKER,"0,28",0,"389,29"," R$  389,57 ","0,07%","0,00%","99,93%",PLO6,-371
09/03/2026,190898,RD LOGÍSTICA,PIXPOKER,"0,84","3,5","38,06"," R$  42,40 ","1,98%","8,25%","89,76%",PLO6,-167
09/03/2026,145213,pix145213,PIXPOKER,0,0,"266,81"," R$  266,81 ","0,00%","0,00%","100,00%",PLO6,-446
09/03/2026,127620,Gabriel.R,PIXPOKER,"17,21",0,0," R$  17,21 ","100,00%","0,00%","0,00%",NLH,-19
09/03/2026,172386,pix172386,PIXPOKER,"33,96",0,"150,67"," R$  184,63 ","18,39%","0,00%","81,61%",PLO6,-366
09/03/2026,141508,LSD ?,PIXPOKER,"17,45","3,5","17,6"," R$  38,55 ","45,27%","9,08%","45,65%",PLO6,74
09/03/2026,158810,Psicopoker,PIXPOKER,"0,47","3,06",0," R$  3,53 ","13,31%","86,69%","0,00%",MTT,-4
09/03/2026,112552,Andinho1505,PIXPOKER,"2,39",0,0," R$  2,39 ","100,00%","0,00%","0,00%",NLH,-13
09/03/2026,136022,R.Santos,PIXPOKER,"4,09",0,0," R$  4,09 ","100,00%","0,00%","0,00%",NLH,-27
